               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,            0.029407,            0.013888,            0.003217,             0.98713,             0.98223,             0.99078,             0.80948,            0.028267,            0.008168,          0.00062443,            0.006898,            0.006898,            0.006898
                  96,            0.029507,            0.015513,           0.0033423,             0.98505,             0.98697,             0.98956,             0.81688,            0.028436,           0.0083716,          0.00066975,            0.006865,            0.006865,            0.006865
                  97,            0.028642,            0.014519,           0.0032353,             0.98492,             0.98341,             0.98749,              0.8095,            0.028319,           0.0083488,          0.00065897,            0.006832,            0.006832,            0.006832
                  98,            0.029054,            0.014548,           0.0033267,             0.98457,             0.98006,             0.98836,             0.81466,            0.028687,           0.0084804,          0.00063526,            0.006799,            0.006799,            0.006799
                  99,            0.028927,            0.015159,            0.003111,             0.97432,             0.98121,              0.9905,               0.825,            0.027752,           0.0083228,          0.00086933,            0.006766,            0.006766,            0.006766
                 100,            0.028496,            0.013388,           0.0033952,             0.98166,              0.9846,             0.98973,              0.8192,            0.028814,            0.008188,          0.00066169,            0.006733,            0.006733,            0.006733
                 101,            0.028544,            0.015062,           0.0033736,             0.98714,             0.98873,             0.99068,             0.81675,            0.028232,           0.0081262,          0.00062168,              0.0067,              0.0067,              0.0067
                 102,            0.029487,            0.014819,           0.0028011,             0.98745,             0.98172,             0.99212,             0.81618,            0.028949,           0.0086852,           0.0007289,            0.006667,            0.006667,            0.006667
                 103,            0.027771,            0.013779,           0.0033486,             0.98825,             0.98339,             0.99041,             0.81996,            0.028145,           0.0082537,          0.00073132,            0.006634,            0.006634,            0.006634
                 104,            0.028016,            0.014638,           0.0033162,             0.98663,             0.97392,             0.99057,             0.81621,            0.028399,           0.0084182,           0.0007956,            0.006601,            0.006601,            0.006601
                 105,             0.02885,            0.014506,           0.0034336,             0.98671,             0.98934,             0.99077,             0.79111,            0.028556,           0.0081315,          0.00064407,            0.006568,            0.006568,            0.006568
                 106,            0.028498,            0.014767,           0.0032811,             0.98613,             0.99044,             0.98956,             0.79551,            0.029002,           0.0080203,          0.00064001,            0.006535,            0.006535,            0.006535
                 107,            0.027982,            0.014008,           0.0032397,             0.98874,             0.98891,             0.98959,              0.8328,            0.027955,           0.0078583,           0.0006754,            0.006502,            0.006502,            0.006502
                 108,            0.027322,            0.014065,           0.0028194,             0.98632,             0.98181,             0.98839,             0.81331,            0.028932,           0.0085251,          0.00063453,            0.006469,            0.006469,            0.006469
                 109,            0.028043,              0.0143,           0.0030719,             0.98126,             0.98353,             0.99118,             0.78584,            0.028054,           0.0081917,          0.00078336,            0.006436,            0.006436,            0.006436
                 110,            0.027938,            0.014957,           0.0028689,             0.97136,             0.97462,             0.98431,              0.7877,            0.028632,           0.0083094,           0.0010888,            0.006403,            0.006403,            0.006403
                 111,            0.028086,            0.015094,           0.0031065,             0.98197,             0.98717,             0.98967,             0.80668,            0.028425,           0.0082349,          0.00063287,             0.00637,             0.00637,             0.00637
                 112,            0.028337,            0.014309,           0.0034123,             0.98742,             0.99052,             0.99172,             0.80722,            0.028116,           0.0081782,          0.00058311,            0.006337,            0.006337,            0.006337
                 113,            0.027961,            0.013806,           0.0033387,             0.98426,             0.98697,             0.98712,             0.80237,            0.028529,           0.0082116,          0.00060252,            0.006304,            0.006304,            0.006304
                 114,            0.027202,            0.013624,            0.003393,             0.98258,             0.98719,             0.98888,             0.81514,            0.028493,           0.0087313,          0.00073652,            0.006271,            0.006271,            0.006271
                 115,            0.027807,            0.013911,           0.0029649,             0.98012,             0.97502,              0.9874,              0.7815,            0.029752,           0.0087339,          0.00081789,            0.006238,            0.006238,            0.006238
                 116,            0.027486,            0.014569,           0.0028712,             0.98826,              0.9846,             0.98583,             0.79937,            0.028536,           0.0088217,          0.00061785,            0.006205,            0.006205,            0.006205
                 117,             0.02755,            0.014984,           0.0029165,             0.98794,             0.98943,             0.99224,             0.81428,            0.028266,           0.0083317,          0.00073804,            0.006172,            0.006172,            0.006172
                 118,            0.027336,            0.013989,           0.0028673,             0.98611,             0.98934,             0.99246,             0.81166,            0.028698,           0.0083826,          0.00061074,            0.006139,            0.006139,            0.006139
                 119,              0.0275,            0.014329,           0.0032795,             0.98838,             0.98827,             0.99328,              0.8106,            0.029167,           0.0082869,          0.00056031,            0.006106,            0.006106,            0.006106
                 120,            0.028243,            0.014991,            0.003027,              0.9886,              0.9846,             0.98786,             0.80156,            0.028393,           0.0081305,          0.00056024,            0.006073,            0.006073,            0.006073
                 121,            0.027459,            0.013992,           0.0029834,             0.97932,             0.97675,             0.98703,             0.80433,            0.028669,           0.0084886,           0.0006702,             0.00604,             0.00604,             0.00604
                 122,             0.02683,            0.013542,           0.0029202,             0.98343,             0.98249,              0.9833,             0.80006,            0.029087,           0.0083378,          0.00068931,            0.006007,            0.006007,            0.006007
                 123,            0.026969,            0.014431,           0.0030357,             0.97768,             0.99168,              0.9915,             0.81084,            0.027887,           0.0081514,          0.00072942,            0.005974,            0.005974,            0.005974
                 124,            0.026397,            0.013949,           0.0030162,             0.98327,             0.98171,             0.98452,             0.80354,            0.027921,            0.008305,          0.00059791,            0.005941,            0.005941,            0.005941
                 125,             0.02682,            0.014363,           0.0033319,             0.98646,             0.98464,             0.98762,             0.81422,            0.028297,           0.0080607,          0.00057981,            0.005908,            0.005908,            0.005908
                 126,            0.027197,            0.013707,           0.0030953,             0.98805,             0.97867,             0.98505,             0.80127,            0.028545,           0.0084246,          0.00064451,            0.005875,            0.005875,            0.005875
                 127,            0.026165,            0.013966,           0.0027391,             0.98878,             0.98815,             0.99045,             0.81015,            0.028272,           0.0083642,          0.00066471,            0.005842,            0.005842,            0.005842
                 128,            0.026885,             0.01421,           0.0030157,             0.98991,             0.99127,             0.99396,             0.78764,             0.02857,           0.0082881,          0.00062191,            0.005809,            0.005809,            0.005809
                 129,             0.02672,            0.013776,           0.0027446,             0.98714,             0.98771,             0.99202,             0.79376,            0.027971,           0.0083616,          0.00066474,            0.005776,            0.005776,            0.005776
                 130,            0.026955,            0.014162,           0.0029606,              0.9843,             0.98818,             0.98979,             0.80367,            0.028927,           0.0082652,          0.00067224,            0.005743,            0.005743,            0.005743
                 131,            0.027417,            0.014269,            0.002983,             0.97441,             0.98146,             0.98508,             0.77464,            0.029067,           0.0082391,          0.00055071,             0.00571,             0.00571,             0.00571
                 132,            0.026419,            0.013741,            0.003104,              0.9885,             0.99052,             0.99037,             0.79321,            0.028881,           0.0083992,          0.00053986,            0.005677,            0.005677,            0.005677
                 133,            0.026486,            0.013944,           0.0031767,             0.98429,              0.9846,             0.98484,             0.79749,            0.029312,           0.0085854,          0.00063692,            0.005644,            0.005644,            0.005644
                 134,            0.026035,             0.01326,           0.0030589,              0.9891,             0.99094,             0.99341,             0.80682,            0.028125,           0.0085258,          0.00071376,            0.005611,            0.005611,            0.005611
                 135,            0.025761,            0.013857,           0.0030092,             0.98966,             0.98816,             0.99344,             0.80974,            0.028032,           0.0086734,          0.00068453,            0.005578,            0.005578,            0.005578
                 136,            0.026036,            0.013499,           0.0029372,             0.97988,             0.96544,             0.98658,             0.80129,            0.028131,           0.0085216,          0.00086078,            0.005545,            0.005545,            0.005545
                 137,             0.02608,            0.013867,           0.0028058,             0.98852,              0.9863,             0.99157,             0.81805,            0.028122,           0.0085855,          0.00062334,            0.005512,            0.005512,            0.005512
                 138,            0.026078,            0.013519,           0.0027502,             0.98978,             0.98934,             0.99267,             0.81382,            0.028198,           0.0086938,          0.00073357,            0.005479,            0.005479,            0.005479
                 139,            0.026987,            0.014519,            0.002653,             0.98556,             0.98521,             0.99199,             0.80218,            0.028502,           0.0085578,          0.00082465,            0.005446,            0.005446,            0.005446
                 140,            0.026464,             0.01373,           0.0026401,             0.98298,             0.98395,             0.98532,             0.80427,            0.028256,           0.0088185,          0.00066679,            0.005413,            0.005413,            0.005413
                 141,            0.025492,            0.013026,           0.0026036,             0.99069,              0.9889,             0.99217,             0.81202,             0.02827,           0.0085781,          0.00057316,             0.00538,             0.00538,             0.00538
                 142,            0.025826,            0.012979,           0.0031295,             0.98766,             0.97822,              0.9883,              0.7915,            0.028807,            0.008495,          0.00059247,            0.005347,            0.005347,            0.005347
                 143,            0.027098,            0.013609,           0.0028177,             0.97604,             0.98752,             0.98531,              0.7999,            0.029344,           0.0083018,          0.00083112,            0.005314,            0.005314,            0.005314
                 144,             0.02604,            0.012853,           0.0027825,             0.98145,             0.98171,             0.98086,             0.81197,            0.029008,           0.0089495,          0.00065761,            0.005281,            0.005281,            0.005281
                 145,            0.026129,            0.013447,           0.0031202,             0.98488,              0.9876,             0.98282,             0.80174,            0.029186,           0.0087706,          0.00065102,            0.005248,            0.005248,            0.005248
                 146,            0.025206,             0.01347,           0.0027796,             0.98299,             0.98232,             0.98754,             0.83325,            0.027925,           0.0084438,          0.00088017,            0.005215,            0.005215,            0.005215
                 147,            0.025704,            0.013907,           0.0026864,             0.98615,             0.98766,             0.98472,             0.81038,            0.028994,            0.008432,          0.00080025,            0.005182,            0.005182,            0.005182
                 148,            0.024797,            0.013042,           0.0028591,              0.9875,             0.98545,              0.9863,             0.78999,            0.029741,           0.0081471,          0.00066142,            0.005149,            0.005149,            0.005149
                 149,            0.025663,            0.013309,           0.0030181,             0.98886,             0.98442,             0.98899,             0.80251,            0.029467,           0.0084721,          0.00067785,            0.005116,            0.005116,            0.005116
                 150,            0.025566,            0.013377,           0.0027195,             0.98758,             0.98959,             0.99185,             0.81658,            0.028774,           0.0086656,          0.00064996,            0.005083,            0.005083,            0.005083
                 151,            0.024987,            0.014091,            0.003056,              0.9843,             0.97921,              0.9821,             0.81721,            0.030292,           0.0086187,          0.00065113,             0.00505,             0.00505,             0.00505
                 152,            0.025219,            0.013246,           0.0024365,             0.98219,             0.99171,              0.9912,             0.82798,            0.028756,           0.0087142,          0.00069994,            0.005017,            0.005017,            0.005017
                 153,            0.025017,             0.01299,           0.0027642,             0.98446,             0.98915,             0.99066,             0.80961,            0.029176,           0.0088159,          0.00061623,            0.004984,            0.004984,            0.004984
                 154,            0.025039,            0.012552,           0.0024011,             0.98732,              0.9851,             0.98664,              0.8026,            0.029091,           0.0085512,          0.00059799,            0.004951,            0.004951,            0.004951
                 155,            0.024666,            0.013519,           0.0024671,             0.98972,             0.99027,             0.99111,             0.80412,            0.028772,            0.008285,          0.00058026,            0.004918,            0.004918,            0.004918
                 156,            0.024279,             0.01287,           0.0026338,             0.98715,             0.99114,             0.99055,             0.81541,            0.029241,           0.0086545,          0.00057191,            0.004885,            0.004885,            0.004885
                 157,            0.025432,            0.013705,           0.0027464,             0.98672,              0.9846,             0.98982,             0.82412,            0.028765,            0.008771,            0.001013,            0.004852,            0.004852,            0.004852
                 158,            0.025177,            0.013182,           0.0025964,             0.98557,             0.98773,             0.98866,             0.79839,            0.029149,           0.0086383,          0.00071302,            0.004819,            0.004819,            0.004819
